"dataset","genus","category","substance","duration of accumulation","exposure route","n (replicate)","Kinetic biaccumulation factor","report","reference","comments"
"<a href='Asellus_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Asellus_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Asellus</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","514 </br> [422 - 629]","<a href='Asellus_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a id='cite-Dalhoff2020'target='_blank'></a><a href='http://dx.doi.org/10.1021/acs.est.0c00189'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Axinella_Ag_7.04d_Genta2012.txt'target='_blank'>Axinella_Ag_7.04d_Genta2012.txt</a>","<i>Axinella</i>","seawater sponge","Ag","7.04 days","water","66 (3)","3267 </br> [2558 - 4285]","<a href='Axinella_Ag_7.04d_Genta2012.pdf' target='_blank'>Link</a>","<a id='cite-Genta2012'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.chemosphere.2012.04.052'>Genta-Jouve<i> et al.</i> (2012)</a>",NA
"<a href='Axinella_Hg_7.04d_Genta2012.txt'target='_blank'>Axinella_Hg_7.04d_Genta2012.txt</a>","<i>Axinella</i>","seawater sponge","Hg","7.04 days","water","66 (3)","3275 </br> [2561 - 4271]","<a href='Axinella_Hg_7.04d_Genta2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1016/j.chemosphere.2012.04.052'target='_blank'>Genta-Jouve<i> et al.</i> (2012)</a>",NA
"<a href='Calanus_dodecane_88h_Agersted2018.txt'target='_blank'>Calanus_dodecane_88h_Agersted2018.txt</a>","<i>Calanus</i>","aquatic invertebrate","dodecane","88 hours","water","17 (3)","118756 </br> [33521 - 2509635]","<a href='Calanus_dodecane_88h_Agersted2018.pdf' target='_blank'>Link</a>","<a id='cite-Agersted2018'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.aquatox.2017.12.001'>Agersted<i> et al.</i> (2018)</a>",NA
"<a href='Calanus_phenanthrene_88h_Agersted2018.txt'target='_blank'>Calanus_phenanthrene_88h_Agersted2018.txt</a>","<i>Calanus</i>","aquatic invertebrate","phenanthrene","88 hours","water","16 (3)","117733 </br> [82830 - 202192]","<a href='Calanus_phenanthrene_88h_Agersted2018.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1016/j.aquatox.2017.12.001'target='_blank'>Agersted<i> et al.</i> (2018)</a>",NA
"<a href='Chaetopteryx_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Chaetopteryx_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Chaetopteryx</i>","insect","cypermethrine","24 hours","water","16 (2)","40 </br> [32 - 49]","<a href='Chaetopteryx_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Chironomus_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Chironomus_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Chironomus</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","209 </br> [173 - 252]","<a href='Chironomus_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Chlorella_4-tert-octylphenol_24h_Achar2020.txt'target='_blank'>Chlorella_4-tert-octylphenol_24h_Achar2020.txt</a>","<i>Chlorella</i>","aquatic algae","4-tert-octylphenol","24 hours","water","11 (2)","531 </br> [0 - 1165]","<a href='Chlorella_4-tert-octylphenol_24h_Achar2020.pdf' target='_blank'>Link</a>","<a id='cite-Achar2020'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.ecoenv.2020.110379'>Achar<i> et al.</i> (2020)</a>",NA
"<a href='Danio_atrazine_48h_El-Amrani2012.csv'target='_blank'>Danio_atrazine_48h_El-Amrani2012.csv</a>","<i>Danio</i>","fish","atrazine","48 hours","water","30 (3)","11 </br> [10 - 11]","<a href='Danio_atrazine_48h_El-Amrani2012.pdf' target='_blank'>Link</a>","<a id='cite-El-Amrani2012'target='_blank'></a><a href='https://doi.org/10.1016/j.scitotenv.2012.02.065'>El-Amrani<i> et al.</i> (2012)</a>","2 tested concentrations"
"<a href='Danio_chlorpyrifos_48h_El-Amrani2012.csv'target='_blank'>Danio_chlorpyrifos_48h_El-Amrani2012.csv</a>","<i>Danio</i>","fish","chlorpyrifos","48 hours","water","35 (6)","1247 </br> [1097 - 1398]","<a href='Danio_chlorpyrifos_48h_El-Amrani2012.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1016/j.scitotenv.2012.02.065'target='_blank'>El-Amrani<i> et al.</i> (2012)</a>","2 tested concentrations"
"<a href='Danio_dicofol_48h_El-Amrani2012.csv'target='_blank'>Danio_dicofol_48h_El-Amrani2012.csv</a>","<i>Danio</i>","fish","dicofol","48 hours","water","33 (3)","5153 </br> [4707 - 5682]","<a href='Danio_dicofol_48h_El-Amrani2012.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1016/j.scitotenv.2012.02.065'target='_blank'>El-Amrani<i> et al.</i> (2012)</a>",NA
"<a href='Daphnia_4-tert-octylphenol_9h_Achar2020.txt'target='_blank'>Daphnia_4-tert-octylphenol_9h_Achar2020.txt</a>","<i>Daphnia</i>","aquatic invertebrate","4-tert-octylphenol","9 hours","water","14 (2)","3188 </br> [2243 - 4454]","<a href='Daphnia_4-tert-octylphenol_9h_Achar2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1016/j.ecoenv.2020.110379'target='_blank'>Achar<i> et al.</i> (2020)</a>",NA
"<a href='Daphnia_alpha-cypermethrine propiconazole_7.5h_Kretschmann2016.txt'target='_blank'>Daphnia_alpha-cypermethrine propiconazole_7.5h_Kretschmann2016.txt</a>","<i>Daphnia</i>","aquatic invertebrate","alpha-cypermethrine propiconazole","7.5 hours","water","24 (3)","511 </br> [351 - 733]","<a href='Daphnia_alpha-cypermethrine-propiconazole_7.5h_Kretschmann2016.pdf' target='_blank'>Link</a>","<a id='cite-Kretschmann2016'target='_blank'></a><a href='https://doi.org/10.1007/s00216-015-9197-x'>Kretschmann<i> et al.</i> (2016)</a>",NA
"<a href='Daphnia_alpha-cypermethrine_7.5h_Kretschmann2016.txt'target='_blank'>Daphnia_alpha-cypermethrine_7.5h_Kretschmann2016.txt</a>","<i>Daphnia</i>","aquatic invertebrate","alpha-cypermethrine","7.5 hours","water","22 (2)","364 </br> [302 - 427]","<a href='Daphnia_alpha-cypermethrine_7.5h_Kretschmann2016.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1007/s00216-015-9197-x'target='_blank'>Kretschmann<i> et al.</i> (2016)</a>",NA
"<a href='Daphnia_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Daphnia_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Daphnia</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","562 </br> [472 - 650]","<a href='Daphnia_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Daphnia_diazinon_21h_Kretschmann2011.csv'target='_blank'>Daphnia_diazinon_21h_Kretschmann2011.csv</a>","<i>Daphnia</i>","aquatic invertebrate","diazinon","21 hours","water","30 (6)","428 </br> [399 - 457]","<a href='Daphnia_diazinon_21h_Kretschmann2011.pdf' target='_blank'>Link</a>","<a id='cite-Kretschmann2011'target='_blank'></a><a href='https://doi.org/10.1021/es104324v'>Kretschmann<i> et al.</i> (2011)</a>",NA
"<a href='Daphnia_imidacloprid_90h_Li2021.csv'target='_blank'>Daphnia_imidacloprid_90h_Li2021.csv</a>","<i>Daphnia</i>","aquatic invertebrate","imidacloprid","90 hours","water","36 (3)","1183 </br> [1150 - 1215]","<a href='Daphnia_imidacloprid_90h_Li2021.pdf' target='_blank'>Link</a>","<a id='cite-Li2021'target='_blank'></a><a href=' 
        https://doi.org/10.1021/acs.est.0c05664
    
'>Li<i> et al.</i> (2021)</a>",NA
"<a href='Daphnia_TPT_72h_Gergs2016_intermediate.txt'target='_blank'>Daphnia_TPT_72h_Gergs2016_intermediate.txt</a>","<i>Daphnia</i>","aquatic invertebrate","TPT","72 hours","water","9 (1)","793 </br> [0 - 1635]","<a href='Daphnia_TPT_72h_Gergs2016_intermediate.pdf' target='_blank'>Link</a>","<a id='cite-Gergs2016'target='_blank'></a><a href=' 
        https://doi.org/10.1021/acs.est.6b01113
    
'>Gergs<i> et al.</i> (2016)</a>","intermediate size"
"<a href='Daphnia_TPT_72h_Gergs2016_large.txt'target='_blank'>Daphnia_TPT_72h_Gergs2016_large.txt</a>","<i>Daphnia</i>","aquatic invertebrate","TPT","72 hours","water","8 (1)","1023 </br> [0 - 27280]","<a href='Daphnia_TPT_72h_Gergs2016_large.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.6b01113
    
'target='_blank'>Gergs<i> et al.</i> (2016)</a>","large"
"<a href='Daphnia_TPT_72h_Gergs2016_small.txt'target='_blank'>Daphnia_TPT_72h_Gergs2016_small.txt</a>","<i>Daphnia</i>","aquatic invertebrate","TPT","72 hours","water","9 (1)","1406 </br> [671 - 2143]","<a href='Daphnia_TPT_72h_Gergs2016_small.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.6b01113
    
'target='_blank'>Gergs<i> et al.</i> (2016)</a>","small size"
"<a href='Eisenia_tebuconazol_21h_Svobodova2018.csv'target='_blank'>Eisenia_tebuconazol_21h_Svobodova2018.csv</a>","<i>Eisenia</i>","aquatic worm","tebuconazol","21 hours","sediment","24 (3)","3 </br> [2 - 3]","<a href='Eisenia_tebuconazol_21h_Svobodova2018.pdf' target='_blank'>Link</a>","<a id='cite-Svobodova2018'target='_blank'></a><a href='https://doi.org/10.1016/j.envpol.2018.01.082'>Svobodov<e1><i> et al.</i> (2018)</a>",NA
"<a href='Enchytraeus_Ce_14d_Huang2020.txt'target='_blank'>Enchytraeus_Ce_14d_Huang2020.txt</a>","<i>Enchytraeus</i>","terrestrial worm","Ce","14 days","water","6 (6)","4 </br> [0 - 59518]","<a href='Enchytraeus_Ce_14d_Huang2020.pdf' target='_blank'>Link</a>","<a id='cite-Huang2020'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0269749119373373'>Huang<i> et al.</i> (2020)</a>","6 tested concentrations"
"<a href='Enchytraeus_Gd_14d_Huang2020.txt'target='_blank'>Enchytraeus_Gd_14d_Huang2020.txt</a>","<i>Enchytraeus</i>","terrestrial worm","Gd","14 days","water","6 (6)","0 </br> [0 - 1465]","<a href='Enchytraeus_Gd_14d_Huang2020.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0269749119373373'target='_blank'>Huang<i> et al.</i> (2020)</a>","6 tested concentrations"
"<a href='Enchytraeus_La_14d_Huang2020.txt'target='_blank'>Enchytraeus_La_14d_Huang2020.txt</a>","<i>Enchytraeus</i>","terrestrial worm","La","14 days","water","6 (6)","0 </br> [0 - 919]","<a href='Enchytraeus_La_14d_Huang2020.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0269749119373373'target='_blank'>Huang<i> et al.</i> (2020)</a>","6 tested concentrations"
"<a href='Ephemera_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Ephemera_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Ephemera</i>","insect","cypermethrine","24 hours","water","16 (2)","38 </br> [24 - 53]","<a href='Ephemera_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Gammarus_2,4-dichloro-aniline_0.999d_Ashauer2012.txt'target='_blank'>Gammarus_2,4-dichloro-aniline_0.999d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","2,4-dichloro-aniline","0.999 days","water","14 (2)","8 </br> [0 - 6229]","<a href='Gammarus_2,4-dichloro-aniline_0.999d_Ashauer2012.pdf' target='_blank'>Link</a>","<a id='cite-Ashauer2012'target='_blank'></a><a href='http://dx.doi.org/10.1021/es204611h'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_2,4,5-trichlorophenol_0.979d_Ashauer2012.txt'target='_blank'>Gammarus_2,4,5-trichlorophenol_0.979d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","2,4,5-trichlorophenol","0.979 days","water","18 (2)","43 </br> [0 - 47094]","<a href='Gammarus_2,4,5-trichlorophenol_0.979d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_4-nitrobenzyl-chloride_1d_Ashauer2012.csv'target='_blank'>Gammarus_4-nitrobenzyl-chloride_1d_Ashauer2012.csv</a>","<i>Gammarus</i>","aquatic invertebrate","4-nitrobenzyl-chloride","1 days","water","14 (2)","223 </br> [6 - 806025]","<a href='Gammarus_4-nitrobenzyl-chloride_1d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_aldicarb_1d_Ashauer2012.csv'target='_blank'>Gammarus_aldicarb_1d_Ashauer2012.csv</a>","<i>Gammarus</i>","aquatic invertebrate","aldicarb","1 days","water","14 (2)","7 </br> [4 - 18]","<a href='Gammarus_aldicarb_1d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_azoxistrobine_1d_Rosch2016.txt'target='_blank'>Gammarus_azoxistrobine_1d_Rosch2016.txt</a>","<i>Gammarus</i>","aquatic invertebrate","azoxistrobine","1 days","water","38 (2)","3982 </br> [1666 - 7674598]","<a href='Gammarus_azoxistrobine_1d_Rosch2016.pdf' target='_blank'>Link</a>","<a id='cite-Rosch2016'target='_blank'></a><a href=' 
        https://doi.org/10.1021/acs.est.6b01301
    
'>Rosch<i> et al.</i> (2016)</a>","biotransformation"
"<a href='Gammarus_BDE99_7d_Ratier2019_food.txt'target='_blank'>Gammarus_BDE99_7d_Ratier2019_food.txt</a>","<i>Gammarus</i>","aquatic invertebrate","BDE99","7 days","food","8 (1)","0.0473 </br> [0.0335 - 0.0635]","<a href='Gammarus_BDE99_7d_Ratier2019_food.pdf' target='_blank'>Link</a>","<a id='cite-Ratier2019'target='_blank'></a><a href='https://tel.archives-ouvertes.fr/tel-02612792'>Ratier (2019)</a>",NA
"<a href='Gammarus_BDE99_7d_Ratier2019_sediment.txt'target='_blank'>Gammarus_BDE99_7d_Ratier2019_sediment.txt</a>","<i>Gammarus</i>","aquatic invertebrate","BDE99","7 days","sediment","8 (1)","0.1629 </br> [0.1233 - 0.2138]","<a href='Gammarus_BDE99_7d_Ratier2019_sediment.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Gammarus_carbaryl_0.990d_Ashauer2012.txt'target='_blank'>Gammarus_carbaryl_0.990d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","carbaryl","0.990 days","water","20 (2)","5 </br> [3 - 11]","<a href='Gammarus_carbaryl_0.990d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_carbofuran_0.990d_Ashauer2012.txt'target='_blank'>Gammarus_carbofuran_0.990d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","carbofuran","0.990 days","water","18 (2)","1 </br> [0 - 585]","<a href='Gammarus_carbofuran_0.990d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_chlorpyrifos_0.979d_Ashauer2012.txt'target='_blank'>Gammarus_chlorpyrifos_0.979d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","chlorpyrifos","0.979 days","water","15 (2)","132 </br> [76 - 184]","<a href='Gammarus_chlorpyrifos_0.979d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_Cu_7d_Urien2017.csv'target='_blank'>Gammarus_Cu_7d_Urien2017.csv</a>","<i>Gammarus</i>","aquatic invertebrate","Cu","7 days","water","92 (15)","10116 </br> [9286 - 11029]","<a href='Gammarus_Cu_7d_Urien2017.pdf' target='_blank'>Link</a>","<a id='cite-Urien2017'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0166445X1730303X'>Urien<i> et al.</i> (2017)</a>",NA
"<a href='Gammarus_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Gammarus_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Gammarus</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","202 </br> [128 - 283]","<a href='Gammarus_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Gammarus_diazepam_2d_Miller2017.txt'target='_blank'>Gammarus_diazepam_2d_Miller2017.txt</a>","<i>Gammarus</i>","aquatic invertebrate","diazepam","2 days","water","12 (3)","151 </br> [36 - 182457]","<a href='Gammarus_diazepam_2d_Miller2017.pdf' target='_blank'>Link</a>","<a id='cite-Miller2017'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0045653517307877'>Miller<i> et al.</i> (2017)</a>","biotransformation"
"<a href='Gammarus_dichlorophenol_0.979d_Ashauer2012.txt'target='_blank'>Gammarus_dichlorophenol_0.979d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","dichlorophenol","0.979 days","water","20 (2)","2 </br> [0 - 1866]","<a href='Gammarus_dichlorophenol_0.979d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_HBCD_9d_Ratier2019.txt'target='_blank'>Gammarus_HBCD_9d_Ratier2019.txt</a>","<i>Gammarus</i>","aquatic invertebrate","HBCD","9 days","sediment","17 (2)","0.0363 </br> [0.022 - 0.0499]","<a href='Gammarus_HBCD_9d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Gammarus_malathion_0.99d_Ashauer2012.txt'target='_blank'>Gammarus_malathion_0.99d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","malathion","0.99 days","water","18 (2)","7660 </br> [22 - 818346]","<a href='Gammarus_malathion_0.99d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_Ni_7d_Urien2017.csv'target='_blank'>Gammarus_Ni_7d_Urien2017.csv</a>","<i>Gammarus</i>","aquatic invertebrate","Ni","7 days","water","87 (14)","276 </br> [257 - 294]","<a href='Gammarus_Ni_7d_Urien2017.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X1730303X'target='_blank'>Urien<i> et al.</i> (2017)</a>",NA
"<a href='Gammarus_PCB153_7d_Ratier2019.txt'target='_blank'>Gammarus_PCB153_7d_Ratier2019.txt</a>","<i>Gammarus</i>","aquatic invertebrate","PCB153","7 days","food","11 (3)","0.0702 </br> [0.0602 - 0.0817]","<a href='Gammarus_PCB153_7d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Gammarus_PCB153_7d_Ratier2019_sediment.txt'target='_blank'>Gammarus_PCB153_7d_Ratier2019_sediment.txt</a>","<i>Gammarus</i>","aquatic invertebrate","PCB153","7 days","sediment","9 (2)","0.4038 </br> [0.2502 - 0.7573]","<a href='Gammarus_PCB153_7d_Ratier2019_sediment.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Gammarus_PeCB_6d_Ratier2019.txt'target='_blank'>Gammarus_PeCB_6d_Ratier2019.txt</a>","<i>Gammarus</i>","aquatic invertebrate","PeCB","6 days","food","11 (1)","0.0952 </br> [0.0754 - 0.1168]","<a href='Gammarus_PeCB_6d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Gammarus_pentachlorophenol_0.990d_Ashauer2012.txt'target='_blank'>Gammarus_pentachlorophenol_0.990d_Ashauer2012.txt</a>","<i>Gammarus</i>","aquatic invertebrate","pentachlorophenol","0.990 days","water","20 (2)","105231 </br> [894 - 6452195]","<a href='Gammarus_pentachlorophenol_0.990d_Ashauer2012.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/es204611h'target='_blank'>Ashauer<i> et al.</i> (2012)</a>","biotransformation"
"<a href='Gammarus_propranolol_2d_Miller2017.txt'target='_blank'>Gammarus_propranolol_2d_Miller2017.txt</a>","<i>Gammarus</i>","aquatic invertebrate","propranolol","2 days","water","12 (3)","27 </br> [18 - 35]","<a href='Gammarus_propranolol_2d_Miller2017.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0045653517307877'target='_blank'>Miller<i> et al.</i> (2017)</a>","biotransformation"
"<a href='Gammarus_PRZ_1d_Fu2018.txt'target='_blank'>Gammarus_PRZ_1d_Fu2018.txt</a>","<i>Gammarus</i>","aquatic invertebrate","PRZ","1 days","water","38 (2)","132 </br> [122 - 143]","<a href='Gammarus_PRZ_1d_Fu2018.pdf' target='_blank'>Link</a>","<a id='cite-Fu2018'target='_blank'></a><a href='https://doi.org/10.1021/acs.est.8b04057'>Fu<i> et al.</i> (2018)</a>","biotransformation"
"<a href='Gammarus_pyrene_7d_Carrasco-Navarro2015.txt'target='_blank'>Gammarus_pyrene_7d_Carrasco-Navarro2015.txt</a>","<i>Gammarus</i>","aquatic invertebrate","pyrene","7 days","water","28 (4)","145030 </br> [1755 - 8144775]","<a href='Gammarus_pyrene_7d_Carrasco-Navarro2015.pdf' target='_blank'>Link</a>","<a id='cite-Carrasco-Navarro2015'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0141113615300313'>Carrasco-Navarro<i> et al.</i> (2015)</a>","biotransformation"
"<a href='Halophila_Ni_12d_Malea2021.csv'target='_blank'>Halophila_Ni_12d_Malea2021.csv</a>","<i>Halophila</i>","seawater plant","Ni","12 days","water","6 (1)","1 </br> [0 - 55]","<a href='Halophila_Ni_12d_Malea2021.pdf' target='_blank'>Link</a>","<a id='cite-Malea2021'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.ecoenv.2020.111386'>Malea<i> et al.</i> (2021)</a>","7 tested concentrations"
"<a href='Heptagenia_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Heptagenia_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Heptagenia</i>","insect","cypermethrine","24 hours","water","16 (2)","1414 </br> [632 - 54717]","<a href='Heptagenia_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Hyalella_AZ_1d_Fu2018.txt'target='_blank'>Hyalella_AZ_1d_Fu2018.txt</a>","<i>Hyalella</i>","aquatic invertebrate","AZ","1 days","water","38 (2)","15 </br> [12 - 21]","<a href='Hyalella_AZ_1d_Fu2018.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1021/acs.est.8b04057'target='_blank'>Fu<i> et al.</i> (2018)</a>","biotransformation"
