"dataset","genus","category","substance","duration of accumulation","exposure route","n (replicate)","Kinetic biaccumulation factor","report","reference","comments"
"<a href='Hyalella_BaP_3d_Schuler2003.txt'target='_blank'>Hyalella_BaP_3d_Schuler2003.txt</a>","<i>Hyalella</i>","aquatic invertebrate","BaP","3 days","sediment","14 (1)","0.315 </br> [0.27 - 0.365]","<a href='Hyalella_BaP_3d_Schuler2003.pdf' target='_blank'>Link</a>","<a id='cite-Schuler2003'target='_blank'></a><a href='http://dx.doi.org/10.1002/etc.5620220227'>Schuler<i> et al.</i> (2003)</a>",NA
"<a href='Hydropsyche_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Hydropsyche_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Hydropsyche</i>","insect","cypermethrine","24 hours","water","16 (2)","541 </br> [83 - 29813]","<a href='Hydropsyche_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Lumbriculus_BaP_10.5d_Schuler2003.csv'target='_blank'>Lumbriculus_BaP_10.5d_Schuler2003.csv</a>","<i>Lumbriculus</i>","aquatic worm","BaP","10.5 days","sediment","29 (3)","1 </br> [1 - 1]","<a href='Lumbriculus_BaP_10.5d_Schuler2003.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1002/etc.5620220227'target='_blank'>Schuler<i> et al.</i> (2003)</a>","biotransformation"
"<a href='Lumbriculus_cd_14d_Chen2017.txt'target='_blank'>Lumbriculus_cd_14d_Chen2017.txt</a>","<i>Lumbriculus</i>","aquatic worm","cd","14 days","sediment","8 (2)","0.3497 </br> [0.1789 - 0.6237]","<a href='Lumbriculus_cd_14d_Chen2017.pdf' target='_blank'>Link</a>","<a id='cite-Chen2017'target='_blank'></a><a href='http://dx.doi.org/10.1007/s10646-017-1769-4'>Chen<i> et al.</i> (2017)</a>",NA
"<a href='Lumbriculus_fipronil_14d_Wang2019.txt'target='_blank'>Lumbriculus_fipronil_14d_Wang2019.txt</a>","<i>Lumbriculus</i>","aquatic worm","fipronil","14 days","sediment","9 (1)","0.093 </br> [0.0767 - 0.1093]","<a href='Lumbriculus_fipronil_14d_Wang2019.pdf' target='_blank'>Link</a>","<a id='cite-Wang2019'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.scitotenv.2019.03.490'>Wang<i> et al.</i> (2019)</a>",NA
"<a href='Oncorhynchus_2-6dimethyldecane_14d_Lo2015.csv'target='_blank'>Oncorhynchus_2-6dimethyldecane_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","2-6dimethyldecane","14 days","food","27 (3)","3.5e-03 </br> [2.6e-03 - 5e-03]","<a href='Oncorhynchus_2-6dimethyldecane_14d_Lo2015.pdf' target='_blank'>Link</a>","<a id='cite-Lo2015'target='_blank'></a><a href='https://doi.org/10.1002/etc.3050'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_BaPy_14d_Lo2015.csv'target='_blank'>Oncorhynchus_BaPy_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","BaPy","14 days","food","29 (3)","0.0452 </br> [0.0231 - 0.0876]","<a href='Oncorhynchus_BaPy_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_chrysene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_chrysene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","chrysene","14 days","food","25 (4)","0.0124 </br> [0.0102 - 0.0148]","<a href='Oncorhynchus_chrysene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_hexachlorobenzene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_hexachlorobenzene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","hexachlorobenzene","14 days","food","29 (5)","2 </br> [1 - 17]","<a href='Oncorhynchus_hexachlorobenzene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_hexachlorocyclohexane_14d_Lo2015.csv'target='_blank'>Oncorhynchus_hexachlorocyclohexane_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","hexachlorocyclohexane","14 days","food","25 (5)","0 </br> [0 - 4]","<a href='Oncorhynchus_hexachlorocyclohexane_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_hexylcyclohexane_14d_Lo2015.csv'target='_blank'>Oncorhynchus_hexylcyclohexane_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","hexylcyclohexane","14 days","food","32 (5)","0.0151 </br> [7.9e-03 - 0.0347]","<a href='Oncorhynchus_hexylcyclohexane_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_methylanthracene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_methylanthracene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","methylanthracene","14 days","food","24 (4)","5.1e-03 </br> [4.2e-03 - 6.6e-03]","<a href='Oncorhynchus_methylanthracene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pcb153_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pcb153_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pcb153","14 days","food","34 (5)","6 </br> [1 - 87]","<a href='Oncorhynchus_pcb153_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pcb155_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pcb155_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pcb155","14 days","food","32 (5)","8 </br> [1 - 109]","<a href='Oncorhynchus_pcb155_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pcb209_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pcb209_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pcb209","14 days","food","34 (5)","9 </br> [1 - 117]","<a href='Oncorhynchus_pcb209_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pcb52_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pcb52_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pcb52","14 days","food","31 (5)","4 </br> [1 - 63]","<a href='Oncorhynchus_pcb52_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_pentachlorobenzene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_pentachlorobenzene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","pentachlorobenzene","14 days","food","30 (4)","0.2104 </br> [0.1213 - 0.4352]","<a href='Oncorhynchus_pentachlorobenzene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_tetrachlorobenzene-benzene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_tetrachlorobenzene-benzene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","tetrachlorobenzene-benzene","14 days","food","25 (4)","0.154 </br> [0.0843 - 0.4202]","<a href='Oncorhynchus_tetrachlorobenzene-benzene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_tetramethyl-benzene_14d_Lo2015.csv'target='_blank'>Oncorhynchus_tetramethyl-benzene_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","tetramethyl-benzene","14 days","food","24 (4)","7e-03 </br> [5.8e-03 - 9e-03]","<a href='Oncorhynchus_tetramethyl-benzene_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oncorhynchus_trans-decalin_14d_Lo2015.csv'target='_blank'>Oncorhynchus_trans-decalin_14d_Lo2015.csv</a>","<i>Oncorhynchus</i>","fish","trans-decalin","14 days","food","32 (5)","0.0148 </br> [0.0103 - 0.0216]","<a href='Oncorhynchus_trans-decalin_14d_Lo2015.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.3050'target='_blank'>Lo<i> et al.</i> (2015)</a>",NA
"<a href='Oryzias_PE_14d_Liu2021.txt'target='_blank'>Oryzias_PE_14d_Liu2021.txt</a>","<i>Oryzias</i>","fish","PE","14 days","water","12 (1)","0.1489 </br> [0.1062 - 0.1868]","<a href='Oryzias_PE_14d_Liu2021.pdf' target='_blank'>Link</a>","<a id='cite-Liu2021'target='_blank'></a><a href='http://dx.doi.org/10.1016/j.ecoenv.2021.112007'>Liu<i> et al.</i> (2021)</a>",NA
"<a href='Physa_3-8nmAgNP_7d_Silva2020.csv'target='_blank'>Physa_3-8nmAgNP_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","3-8nmAgNP","7 days","water","21 (3)","70 </br> [6 - 4054]","<a href='Physa_3-8nmAgNP_7d_Silva2020.pdf' target='_blank'>Link</a>","<a id='cite-Silva2020'target='_blank'></a><a href='http://dx.doi.org/10.1039/d0en00946f'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Physa_50nmAgNP_7d_Silva2020.csv'target='_blank'>Physa_50nmAgNP_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","50nmAgNP","7 days","water","18 (3)","42 </br> [2 - 2152]","<a href='Physa_50nmAgNP_7d_Silva2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1039/d0en00946f'target='_blank'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Physa_60nmAgNP_7d_Silva2020.csv'target='_blank'>Physa_60nmAgNP_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","60nmAgNP","7 days","water","22 (3)","129 </br> [10 - 7552]","<a href='Physa_60nmAgNP_7d_Silva2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1039/d0en00946f'target='_blank'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Physa_Ag2S-nP_7d_Silva2020.csv'target='_blank'>Physa_Ag2S-nP_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","Ag2S-nP","7 days","water","23 (4)","5 </br> [3 - 7]","<a href='Physa_Ag2S-nP_7d_Silva2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1039/d0en00946f'target='_blank'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Physa_AGNO3_7d_Silva2020.csv'target='_blank'>Physa_AGNO3_7d_Silva2020.csv</a>","<i>Physa</i>","aquatic invertebrate","AGNO3","7 days","sediment","24 (3)","25262 </br> [0 - 1706990]","<a href='Physa_AGNO3_7d_Silva2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1039/d0en00946f'target='_blank'>Silva<i> et al.</i> (2020)</a>",NA
"<a href='Planorbarius_azinphos-methyl_12h_Cacciatore2018.txt'target='_blank'>Planorbarius_azinphos-methyl_12h_Cacciatore2018.txt</a>","<i>Planorbarius</i>","aquatic invertebrate","azinphos-methyl","12 hours","water","27 (4)","13 </br> [12 - 13]","<a href='Planorbarius_azinphos-methyl_12h_Cacciatore2018.pdf' target='_blank'>Link</a>","<a id='cite-Cacciatore2018'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0166445X1830345X'>Cacciatore<i> et al.</i> (2018)</a>",NA
"<a href='Planorbarius_AZM in mixture with carbaryl_12h_Cacciatore2018.txt'target='_blank'>Planorbarius_AZM in mixture with carbaryl_12h_Cacciatore2018.txt</a>","<i>Planorbarius</i>","aquatic invertebrate","AZM in mixture with carbaryl","12 hours","water","28 (4)","12 </br> [11 - 13]","<a href='Planorbarius_AZM-in-mixture-with-carbaryl_12h_Cacciatore2018.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X1830345X'target='_blank'>Cacciatore<i> et al.</i> (2018)</a>",NA
"<a href='Planorbarius_carbaryl in mixture with AZM_12h_Cacciatore2018.txt'target='_blank'>Planorbarius_carbaryl in mixture with AZM_12h_Cacciatore2018.txt</a>","<i>Planorbarius</i>","aquatic invertebrate","carbaryl in mixture with AZM","12 hours","water","27 (4)","4 </br> [4 - 4]","<a href='Planorbarius_carbaryl-in-mixture-with-AZM_12h_Cacciatore2018.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X1830345X'target='_blank'>Cacciatore<i> et al.</i> (2018)</a>",NA
"<a href='Planorbarius_carbaryl_12h_Cacciatore2018.txt'target='_blank'>Planorbarius_carbaryl_12h_Cacciatore2018.txt</a>","<i>Planorbarius</i>","aquatic invertebrate","carbaryl","12 hours","water","21 (3)","4 </br> [3 - 4]","<a href='Planorbarius_carbaryl_12h_Cacciatore2018.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X1830345X'target='_blank'>Cacciatore<i> et al.</i> (2018)</a>",NA
"<a href='Poecilus_Cd_90d_Skip2014.txt'target='_blank'>Poecilus_Cd_90d_Skip2014.txt</a>","<i>Poecilus</i>","insect","Cd","90 days","food","20 (1)","0.0351 </br> [0.0308 - 0.0392]","<a href='Poecilus_Cd_90d_Skip2014.pdf' target='_blank'>Link</a>","<a id='cite-Skip2014'target='_blank'></a><a href='http://dx.doi.org/10.1371/journal.pone.0108740'>Skip<i> et al.</i> (2014)</a>",NA
"<a href='Radix_BDE99 BDE47_9d_Ratier2019.csv'target='_blank'>Radix_BDE99 BDE47_9d_Ratier2019.csv</a>","<i>Radix</i>","aquatic invertebrate","BDE99 BDE47","9 days","sediment","10 (1)","100 </br> [2 - 2276]","<a href='Radix_BDE99 BDE47_9d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>","biotransformation"
"<a href='Radix_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Radix_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Radix</i>","aquatic invertebrate","cypermethrine","24 hours","water","16 (2)","902 </br> [766 - 1040]","<a href='Radix_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Radix_PCB153_9d_Ratier2019.txt'target='_blank'>Radix_PCB153_9d_Ratier2019.txt</a>","<i>Radix</i>","aquatic invertebrate","PCB153","9 days","sediment","10 (1)","111 </br> [4 - 1781]","<a href='Radix_PCB153_9d_Ratier2019.pdf' target='_blank'>Link</a>","<a href='https://tel.archives-ouvertes.fr/tel-02612792'target='_blank'>Ratier (2019)</a>",NA
"<a href='Snail_Mn_28d_Gimbert.txt'target='_blank'>Snail_Mn_28d_Gimbert.txt</a>","<i>Snail</i>","terrestrial invertebrate","Mn","28 days","sediment","32 (5)","0.2124 </br> [0.1788 - 0.2477]","<a href='Snail_Mn_28d_Gimbert.pdf' target='_blank'>Link</a>",NA,"3 tested concentrations"
"<a href='Solea_PCB105_90d_Eichinger2010.csv'target='_blank'>Solea_PCB105_90d_Eichinger2010.csv</a>","<i>Solea</i>","fish","PCB105","90 days","food","36 (3)","0.4912 </br> [0.4 - 0.6163]","<a href='Solea_PCB105_90d_Eichinger2010.pdf' target='_blank'>Link</a>","<a id='cite-Eichinger2010'target='_blank'></a><a href='https://doi.org/10.1016/j.seares.2010.05.005'>Eichinger<i> et al.</i> (2010)</a>",NA
"<a href='Solea_PCB153_90d_Eichinger2010.csv'target='_blank'>Solea_PCB153_90d_Eichinger2010.csv</a>","<i>Solea</i>","fish","PCB153","90 days","food","34 (3)","0.4993 </br> [0.3921 - 0.6722]","<a href='Solea_PCB153_90d_Eichinger2010.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1016/j.seares.2010.05.005'target='_blank'>Eichinger<i> et al.</i> (2010)</a>",NA
"<a href='Tubifex_cypermethrine_24h_Dalhoff2020.txt'target='_blank'>Tubifex_cypermethrine_24h_Dalhoff2020.txt</a>","<i>Tubifex</i>","aquatic worm","cypermethrine","24 hours","water","16 (2)","77492 </br> [5384 - 1784701]","<a href='Tubifex_cypermethrine_24h_Dalhoff2020.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1021/acs.est.0c00189'target='_blank'>Dalhoff<i> et al.</i> (2020)</a>",NA
"<a href='Apostichopus_azithromycin_28d_Zhu2020.csv'target='_blank'>Apostichopus_azithromycin_28d_Zhu2020.csv</a>","<i>Apostichopus</i>","marine invertebrate","azithromycin","28 days","water","19 (1)","81 </br> [74 - 88]","<a href='Apostichopus_azithromycin_28d_Zhu2020.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c04421
    
'target='_blank'>Zhu<i> et al.</i> (2020)</a>",NA
"<a href='Apostichopus_clarithromycin_28d_Zhu2020.csv'target='_blank'>Apostichopus_clarithromycin_28d_Zhu2020.csv</a>","<i>Apostichopus</i>","marine invertebrate","clarithromycin","28 days","water","19 (1)","92 </br> [80 - 104]","<a href='Apostichopus_clarithromycin_28d_Zhu2020.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c04421
    
'target='_blank'>Zhu<i> et al.</i> (2020)</a>",NA
"<a href='Apostichopus_enrofloxacin_28d_Zhu2020.csv'target='_blank'>Apostichopus_enrofloxacin_28d_Zhu2020.csv</a>","<i>Apostichopus</i>","marine invertebrate","enrofloxacin","28 days","water","19 (1)","75 </br> [69 - 82]","<a href='Apostichopus_enrofloxacin_28d_Zhu2020.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c04421
    
'target='_blank'>Zhu<i> et al.</i> (2020)</a>",NA
"<a href='Apostichopus_ofloxacin_28d_Zhu2020.csv'target='_blank'>Apostichopus_ofloxacin_28d_Zhu2020.csv</a>","<i>Apostichopus</i>","marine invertebrate","ofloxacin","28 days","water","19 (1)","39 </br> [34 - 45]","<a href='Apostichopus_ofloxacin_28d_Zhu2020.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c04421
    
'target='_blank'>Zhu<i> et al.</i> (2020)</a>",NA
"<a href='Apostichopus_sulfadiazine_28d_Zhu2020.csv'target='_blank'>Apostichopus_sulfadiazine_28d_Zhu2020.csv</a>","<i>Apostichopus</i>","marine invertebrate","sulfadiazine","28 days","water","18 (1)","6 </br> [5 - 7]","<a href='Apostichopus_sulfadiazine_28d_Zhu2020.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c04421
    
'target='_blank'>Zhu<i> et al.</i> (2020)</a>",NA
"<a href='Apostichopus_trimethoprim_28d_Zhu2020.csv'target='_blank'>Apostichopus_trimethoprim_28d_Zhu2020.csv</a>","<i>Apostichopus</i>","marine invertebrate","trimethoprim","28 days","water","18 (1)","51 </br> [46 - 57]","<a href='Apostichopus_trimethoprim_28d_Zhu2020.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c04421
    
'target='_blank'>Zhu<i> et al.</i> (2020)</a>",NA
"<a href='Brachydanio_atrazine_1d_Gorge1990.csv'target='_blank'>Brachydanio_atrazine_1d_Gorge1990.csv</a>","<i>Brachydanio</i>","fish","atrazine","1 days","water","37 (1)","1 </br> [1 - 2]","<a href='Brachydanio_atrazine_1d_Gorge1990.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/014765139090004O'target='_blank'>Gorge<i> et al.</i> (1990)</a>",NA
"<a href='Cloeon_imidacloprid_2.02d_Huang2021.csv'target='_blank'>Cloeon_imidacloprid_2.02d_Huang2021.csv</a>","<i>Cloeon</i>","insect","imidacloprid","2.02 days","water","33 (3)","6174 </br> [147 - 119522]","<a href='Cloeon_imidacloprid_2.02d_Huang2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X21000965'target='_blank'>Huang<i> et al.</i> (2021)</a>","biotransformation"
"<a href='Cyprinnodon_naphtalene_36d_Jonsson2004.csv'target='_blank'>Cyprinnodon_naphtalene_36d_Jonsson2004.csv</a>","<i>Cyprinnodon</i>","fish","naphtalene","36 days","water","14 (1)","7 </br> [4 - 4231]","<a href='Cyprinnodon_naphtalene_36d_Jonsson2004.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1897/03-173'target='_blank'>Jonsson<i> et al.</i> (2004)</a>","biotransformation"
"<a href='Cyprinnodon_phenantrene_36d_Jonsson2004.csv'target='_blank'>Cyprinnodon_phenantrene_36d_Jonsson2004.csv</a>","<i>Cyprinnodon</i>","fish","phenantrene","36 days","water","13 (1)","526 </br> [17 - 378268]","<a href='Cyprinnodon_phenantrene_36d_Jonsson2004.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1897/03-173'target='_blank'>Jonsson<i> et al.</i> (2004)</a>","biotransformation"
"<a href='Cyprinnodon_pyrene_36d_Jonsson2004.csv'target='_blank'>Cyprinnodon_pyrene_36d_Jonsson2004.csv</a>","<i>Cyprinnodon</i>","fish","pyrene","36 days","water","14 (1)","28 </br> [19 - 3636]","<a href='Cyprinnodon_pyrene_36d_Jonsson2004.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1897/03-173'target='_blank'>Jonsson<i> et al.</i> (2004)</a>","biotransformation"
"<a href='Eisenia_C14_21d_Chen2017.csv'target='_blank'>Eisenia_C14_21d_Chen2017.csv</a>","<i>Eisenia</i>","aquatic worm","C14","21 days","sediment","6 (1)","20 </br> [4 - 827]","<a href='Eisenia_C14_21d_Chen2017.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1007/s10646-017-1769-4'target='_blank'>Chen<i> et al.</i> (2017)</a>",NA
"<a href='Gallus_alpha-HBCD_21d_Fournier2012_liver.csv'target='_blank'>Gallus_alpha-HBCD_21d_Fournier2012_liver.csv</a>","<i>Gallus</i>","vertebrate","alpha-HBCD","21 days","sediment","10 (1)","0.0212 </br> [0.001 - 0.1529]","<a href='Gallus_alpha-HBCD_21d_Fournier2012_liver.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1007/s11356-011-0573-6'target='_blank'>Fournier<i> et al.</i> (2012)</a>","liver"
"<a href='Gallus_gamma-HBCD_21d_Fournier2012_liver.csv'target='_blank'>Gallus_gamma-HBCD_21d_Fournier2012_liver.csv</a>","<i>Gallus</i>","vertebrate","gamma-HBCD","21 days","sediment","10 (1)","0.0171 </br> [0.0148 - 0.019]","<a href='Gallus_gamma-HBCD_21d_Fournier2012_liver.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1007/s11356-011-0573-6'target='_blank'>Fournier<i> et al.</i> (2012)</a>","liver"
"<a href='Gallus_HBCD_21d_Fournier2012_liver.csv'target='_blank'>Gallus_HBCD_21d_Fournier2012_liver.csv</a>","<i>Gallus</i>","vertebrate","HBCD","21 days","sediment","10 (1)","2 </br> [0 - 161]","<a href='Gallus_HBCD_21d_Fournier2012_liver.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1007/s11356-011-0573-6'target='_blank'>Fournier<i> et al.</i> (2012)</a>","liver, biotransformation"
"<a href='Gallus_PFOS_102d_Tarazona2015.csv'target='_blank'>Gallus_PFOS_102d_Tarazona2015.csv</a>","<i>Gallus</i>","vertebrate","PFOS","102 days","food","25 (1)","743 </br> [580 - 1014]","<a href='Gallus_PFOS_102d_Tarazona2015.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S037842741401474X'target='_blank'>Tarazona<i> et al.</i> (2015)</a>",NA
"<a href='Gammarus_azoxistrobine_1d_Rosch2017.txt'target='_blank'>Gammarus_azoxistrobine_1d_Rosch2017.txt</a>","<i>Gammarus</i>","aquatic invertebrate","azoxistrobine","1 days","water","38 (2)","4524 </br> [1662 - 8993041]","<a href='Gammarus_azoxistrobine_1d_Rosch2017.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1021/acs.est.7b03088'target='_blank'>Rosch<i> et al.</i> (2017)</a>","biotransformation"
"<a href='Gammarus_epoxiconazole_1d_Rosch2016.txt'target='_blank'>Gammarus_epoxiconazole_1d_Rosch2016.txt</a>","<i>Gammarus</i>","aquatic invertebrate","epoxiconazole","1 days","water","34 (3)","85 </br> [74 - 91]","<a href='Gammarus_epoxiconazole_1d_Rosch2016.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1021/acs.est.6b01301'target='_blank'>Rosch<i> et al.</i> (2016)</a>","biotransformation"
