"dataset","genus","category","substance","duration of accumulation","exposure route","n (replicate)","Kinetic biaccumulation factor","report","reference","comments"
"<a href='Gammarus_imidachloprid_168h_Svara2021_H2-site.txt'target='_blank'>Gammarus_imidachloprid_168h_Svara2021_H2-site.txt</a>","<i>Gammarus</i>","aquatic invertebrate","imidachloprid","168 hours","water","16 (1)","9 </br> [8 - 11]","<a href='Gammarus_imidachloprid_168h_Svara2021_H2-site.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1021/acs.est.0c07839'target='_blank'>Svara<i> et al.</i> (2021)</a>","H2 site"
"<a href='Gammarus_imidachloprid_168h_Svara2021_H6-site.txt'target='_blank'>Gammarus_imidachloprid_168h_Svara2021_H6-site.txt</a>","<i>Gammarus</i>","aquatic invertebrate","imidachloprid","168 hours","water","16 (1)","9 </br> [7 - 11]","<a href='Gammarus_imidachloprid_168h_Svara2021_H6-site.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1021/acs.est.0c07839'target='_blank'>Svara<i> et al.</i> (2021)</a>","H6 site"
"<a href='Gammarus_imidacloprid_14d_Nyman2013.csv'target='_blank'>Gammarus_imidacloprid_14d_Nyman2013.csv</a>","<i>Gammarus</i>","aquatic invertebrate","imidacloprid","14 days","water","13 (10)","6 </br> [5 - 7]","<a href='Gammarus_imidacloprid_14d_Nyman2013.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1371/journal.pone.0062472'target='_blank'>Nyman<i> et al.</i> (2013)</a>",NA
"<a href='Gammarus_imidacloprid_2.02d_Huang2021.csv'target='_blank'>Gammarus_imidacloprid_2.02d_Huang2021.csv</a>","<i>Gammarus</i>","aquatic invertebrate","imidacloprid","2.02 days","water","33 (3)","61 </br> [44 - 97]","<a href='Gammarus_imidacloprid_2.02d_Huang2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0166445X21000965'target='_blank'>Huang<i> et al.</i> (2021)</a>","biotransformation"
"<a href='Gammarus_prochloraz_1d_Rosch2017.txt'target='_blank'>Gammarus_prochloraz_1d_Rosch2017.txt</a>","<i>Gammarus</i>","aquatic invertebrate","prochloraz","1 days","water","30 (2)","111 </br> [104 - 118]","<a href='Gammarus_prochloraz_1d_Rosch2017.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1021/acs.est.7b03088'target='_blank'>Rosch<i> et al.</i> (2017)</a>",NA
"<a href='Gammarus_propiconazole_24h_Nyman2012.csv'target='_blank'>Gammarus_propiconazole_24h_Nyman2012.csv</a>","<i>Gammarus</i>","aquatic invertebrate","propiconazole","24 hours","water","7 (3)","14 </br> [12 - 17]","<a href='Gammarus_propiconazole_24h_Nyman2012.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1007/s10646-012-0917-0'target='_blank'>Nyman<i> et al.</i> (2012)</a>","2 tested concentrations"
"<a href='Gammarus_pyrene_7d_Carrasco-Navarro2015.csv'target='_blank'>Gammarus_pyrene_7d_Carrasco-Navarro2015.csv</a>","<i>Gammarus</i>","aquatic invertebrate","pyrene","7 days","water","28 (4)","157166 </br> [1719 - 9280570]","<a href='Gammarus_pyrene_7d_Carrasco-Navarro2015.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0141113615300313'target='_blank'>Carrasco-Navarro<i> et al.</i> (2015)</a>","biotransformation"
"<a href='Lumbriculus_atrazine_240d_Jantunen2008.csv'target='_blank'>Lumbriculus_atrazine_240d_Jantunen2008.csv</a>","<i>Lumbriculus</i>","aquatic worm","atrazine","240 days","sediment","16 (3)","0.031 </br> [0.0219 - 0.0498]","<a href='Lumbriculus_atrazine_240d_Jantunen2008.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0147651308000201'target='_blank'>Jantunen<i> et al.</i> (2008)</a>","4 tested concentrations"
"<a href='Lumbriculus_chlorpyrifos_240d_Jantunen2008.csv'target='_blank'>Lumbriculus_chlorpyrifos_240d_Jantunen2008.csv</a>","<i>Lumbriculus</i>","aquatic worm","chlorpyrifos","240 days","sediment","18 (3)","2 </br> [1 - 15]","<a href='Lumbriculus_chlorpyrifos_240d_Jantunen2008.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0147651308000201'target='_blank'>Jantunen<i> et al.</i> (2008)</a>","4 tested concentrations"
"<a href='Metaphire_C14_21d_Chen2017.csv'target='_blank'>Metaphire_C14_21d_Chen2017.csv</a>","<i>Metaphire</i>","aquatic worm","C14","21 days","sediment","6 (1)","18 </br> [13 - 29]","<a href='Metaphire_C14_21d_Chen2017.pdf' target='_blank'>Link</a>","<a href='http://dx.doi.org/10.1007/s10646-017-1769-4'target='_blank'>Chen<i> et al.</i> (2017)</a>",NA
"<a href='Mytilus_8-2-diPAP_72h_Cui2021.csv'target='_blank'>Mytilus_8-2-diPAP_72h_Cui2021.csv</a>","<i>Mytilus</i>","aquatic invertebrate","8-2-diPAP","72 hours","water","18 (1)","838 </br> [575 - 1147]","<a href='Mytilus_8-2-diPAP_72h_Cui2021.pdf' target='_blank'>Link</a>","<a href='https://doi.org/10.1002/etc.5060'target='_blank'>Cui<i> et al.</i> (2021)</a>",NA
"<a href='Oryzias_diSPAP_10d_Peng2013.csv'target='_blank'>Oryzias_diSPAP_10d_Peng2013.csv</a>","<i>Oryzias</i>","fish","diSPAP","10 days","water","10 (1)","40 </br> [0 - 14261]","<a href='Oryzias_diSPAP_10d_Peng2013.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es404867w
    
'target='_blank'>Peng<i> et al.</i> (2014)</a>","biotransformation"
"<a href='Potamocorbula_Cd_72h_Zhong2020.csv'target='_blank'>Potamocorbula_Cd_72h_Zhong2020.csv</a>","<i>Potamocorbula</i>","marine invertebrate","Cd","72 hours","water","12 (7)","0 </br> [0 - 3]","<a href='Potamocorbula_Cd_72h_Zhong2020.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/acs.est.0c06644
    
'target='_blank'>Zhong<i> et al.</i> (2020)</a>","7 tested concentrations"
"<a href='Salmo_1,2-DCB_119d_Oliver1983.csv'target='_blank'>Salmo_1,2-DCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","1,2-DCB","119 days","water","5 (2)","0.2591 </br> [0.2075 - 0.3035]","<a href='Salmo_1,2-DCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_1,2,3-TCB_119d_Oliver1983.csv'target='_blank'>Salmo_1,2,3-TCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","1,2,3-TCB","119 days","water","5 (2)","1 </br> [1 - 1]","<a href='Salmo_1,2,3-TCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_1,2,3,4-TeCB_119d_Oliver1983.csv'target='_blank'>Salmo_1,2,3,4-TeCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","1,2,3,4-TeCB","119 days","water","5 (2)","5 </br> [3 - 7]","<a href='Salmo_1,2,3,4-TeCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_1,2,4-TCB_199d_Oliver1983.csv'target='_blank'>Salmo_1,2,4-TCB_199d_Oliver1983.csv</a>","<i>Salmo</i>","fish","1,2,4-TCB","199 days","water","4 (2)","1 </br> [0 - 3]","<a href='Salmo_1,2,4-TCB_199d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_1,2,4,5-TeCB_119d_Oliver1983.csv'target='_blank'>Salmo_1,2,4,5-TeCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","1,2,4,5-TeCB","119 days","water","5 (2)","6 </br> [4 - 9]","<a href='Salmo_1,2,4,5-TeCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_1,3-DCB_119d_Oliver1983.csv'target='_blank'>Salmo_1,3-DCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","1,3-DCB","119 days","water","5 (2)","0.4415 </br> [0.385 - 0.4903]","<a href='Salmo_1,3-DCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_1,3,5-TCB_119d_Oliver1983.csv'target='_blank'>Salmo_1,3,5-TCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","1,3,5-TCB","119 days","water","5 (2)","2 </br> [2 - 2]","<a href='Salmo_1,3,5-TCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_1,4-DCB_119d_Oliver1983.csv'target='_blank'>Salmo_1,4-DCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","1,4-DCB","119 days","water","5 (2)","0.3857 </br> [0.2675 - 0.4896]","<a href='Salmo_1,4-DCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_hCB_119d_Oliver1983.csv'target='_blank'>Salmo_hCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","hCB","119 days","water","5 (2)","116 </br> [5 - 2624]","<a href='Salmo_hCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_HCBD_119d_Oliver1983.csv'target='_blank'>Salmo_HCBD_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","HCBD","119 days","water","5 (2)","6 </br> [4 - 8]","<a href='Salmo_HCBD_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_HCE_119d_Oliver1983.csv'target='_blank'>Salmo_HCE_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","HCE","119 days","water","8 (2)","0.713 </br> [0.564 - 0.8628]","<a href='Salmo_HCE_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Salmo_QCB_119d_Oliver1983.csv'target='_blank'>Salmo_QCB_119d_Oliver1983.csv</a>","<i>Salmo</i>","fish","QCB","119 days","water","5 (2)","17 </br> [0 - 135]","<a href='Salmo_QCB_119d_Oliver1983.pdf' target='_blank'>Link</a>","<a href=' 
        https://doi.org/10.1021/es00111a009
    
'target='_blank'>Oliver<i> et al.</i> (1983)</a>","2 tested concentrations"
"<a href='Spirostomum_fluoxetine_6d_Natecz-Jawecki2020.txt'target='_blank'>Spirostomum_fluoxetine_6d_Natecz-Jawecki2020.txt</a>","<i>Spirostomum</i>","Heterotrichea","fluoxetine","6 days","water","14 (2)","6870 </br> [525 - 461623]","<a href='Spirostomum_fluoxetine_6d_Natecz-Jawecki2020.pdf' target='_blank'>Link</a>","<a href='https://www.mdpi.com/1420-3049/25/7/1476'target='_blank'>Nalecz-Jawecki<i> et al.</i> (2020)</a>","3 tested concentrations"
"<a href='Spirostomum_mianserin_6d_Natecz-Jawecki2020.txt'target='_blank'>Spirostomum_mianserin_6d_Natecz-Jawecki2020.txt</a>","<i>Spirostomum</i>","Heterotrichea","mianserin","6 days","water","14 (2)","3142 </br> [1991 - 4244]","<a href='Spirostomum_mianserin_6d_Natecz-Jawecki2020.pdf' target='_blank'>Link</a>","<a href='https://www.mdpi.com/1420-3049/25/7/1476'target='_blank'>Nalecz-Jawecki<i> et al.</i> (2020)</a>","3 tested concentrations"
"<a href='Spirostomum_paroxetine_6d_Natecz-Jawecki2020.txt'target='_blank'>Spirostomum_paroxetine_6d_Natecz-Jawecki2020.txt</a>","<i>Spirostomum</i>","Heterotrichea","paroxetine","6 days","water","14 (2)","189 </br> [1 - 553]","<a href='Spirostomum_paroxetine_6d_Natecz-Jawecki2020.pdf' target='_blank'>Link</a>","<a href='https://www.mdpi.com/1420-3049/25/7/1476'target='_blank'>Nalecz-Jawecki<i> et al.</i> (2020)</a>","3 tested concentrations"
"<a href='Spirostomum_sertraline_6d_Natecz-Jawecki2020.txt'target='_blank'>Spirostomum_sertraline_6d_Natecz-Jawecki2020.txt</a>","<i>Spirostomum</i>","Heterotrichea","sertraline","6 days","water","14 (2)","82875 </br> [6030 - 8203084]","<a href='Spirostomum_sertraline_6d_Natecz-Jawecki2020.pdf' target='_blank'>Link</a>","<a href='https://www.mdpi.com/1420-3049/25/7/1476'target='_blank'>Nalecz-Jawecki<i> et al.</i> (2020)</a>","3 tested concentrations"
"<a href='Tenebrio_Ag2S-NPs-226mg_21d_Khodaparast2021.csv'target='_blank'>Tenebrio_Ag2S-NPs-226mg_21d_Khodaparast2021.csv</a>","<i>Tenebrio</i>","insect","Ag2S-NPs-226mg","21 days","sediment","12 (1)","0.0938 </br> [0.0626 - 0.1231]","<a href='Tenebrio_Ag2S-NPs-226mg_21d_Khodaparast2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_Ag2S-NPs-22mg_21d_Khodaparast2021.csv'target='_blank'>Tenebrio_Ag2S-NPs-22mg_21d_Khodaparast2021.csv</a>","<i>Tenebrio</i>","insect","Ag2S-NPs-22mg","21 days","sediment","12 (1)","0.0157 </br> [0.0106 - 0.0204]","<a href='Tenebrio_Ag2S-NPs-22mg_21d_Khodaparast2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_Ag2S-NPs_21d_Khodaparast2021.csv'target='_blank'>Tenebrio_Ag2S-NPs_21d_Khodaparast2021.csv</a>","<i>Tenebrio</i>","insect","Ag2S-NPs","21 days","food","12 (1)","0.0881 </br> [0.0454 - 0.1273]","<a href='Tenebrio_Ag2S-NPs_21d_Khodaparast2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_AgNO3_21d_Khodaparast2021.csv'target='_blank'>Tenebrio_AgNO3_21d_Khodaparast2021.csv</a>","<i>Tenebrio</i>","insect","AgNO3","21 days","sediment","12 (1)","0.2597 </br> [0.0993 - 0.396]","<a href='Tenebrio_AgNO3_21d_Khodaparast2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_AgNO3_21d_Khodaparast2021_food.csv'target='_blank'>Tenebrio_AgNO3_21d_Khodaparast2021_food.csv</a>","<i>Tenebrio</i>","insect","AgNO3","21 days","food","12 (1)","0 </br> [0 - 5]","<a href='Tenebrio_AgNO3_21d_Khodaparast2021_food.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_AgNPs3-8nm_21d_Khodaparast2021.csv'target='_blank'>Tenebrio_AgNPs3-8nm_21d_Khodaparast2021.csv</a>","<i>Tenebrio</i>","insect","AgNPs3-8nm","21 days","sediment","12 (1)","0.2073 </br> [0.1256 - 0.2767]","<a href='Tenebrio_AgNPs3-8nm_21d_Khodaparast2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_AgNPs3-8nm_21d_Khodaparast2021_food.csv'target='_blank'>Tenebrio_AgNPs3-8nm_21d_Khodaparast2021_food.csv</a>","<i>Tenebrio</i>","insect","AgNPs3-8nm","21 days","food","12 (1)","0 </br> [0 - 11]","<a href='Tenebrio_AgNPs3-8nm_21d_Khodaparast2021_food.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_AgNPs50nm_21d_Khodaparast2021.csv'target='_blank'>Tenebrio_AgNPs50nm_21d_Khodaparast2021.csv</a>","<i>Tenebrio</i>","insect","AgNPs50nm","21 days","sediment","11 (1)","0 </br> [0 - 8]","<a href='Tenebrio_AgNPs50nm_21d_Khodaparast2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_AgNPs50nm_21d_Khodaparast2021_food.csv'target='_blank'>Tenebrio_AgNPs50nm_21d_Khodaparast2021_food.csv</a>","<i>Tenebrio</i>","insect","AgNPs50nm","21 days","food","12 (1)","0.0757 </br> [0.0386 - 0.1099]","<a href='Tenebrio_AgNPs50nm_21d_Khodaparast2021_food.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_AgNPs60nm_21d_Khodaparast2021.csv'target='_blank'>Tenebrio_AgNPs60nm_21d_Khodaparast2021.csv</a>","<i>Tenebrio</i>","insect","AgNPs60nm","21 days","sediment","11 (1)","0.2472 </br> [0.1304 - 0.3489]","<a href='Tenebrio_AgNPs60nm_21d_Khodaparast2021.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tenebrio_AgNPs60nm_21d_Khodaparast2021_food.csv'target='_blank'>Tenebrio_AgNPs60nm_21d_Khodaparast2021_food.csv</a>","<i>Tenebrio</i>","insect","AgNPs60nm","21 days","food","12 (1)","0.1329 </br> [0 - 0.2429]","<a href='Tenebrio_AgNPs60nm_21d_Khodaparast2021_food.pdf' target='_blank'>Link</a>","<a href='https://www.sciencedirect.com/science/article/pii/S0048969721011384'target='_blank'>Khodaparast<i> et al.</i> (2021)</a>",NA
"<a href='Tigriopus_HBCD_96h_Shi2017.csv'target='_blank'>Tigriopus_HBCD_96h_Shi2017.csv</a>","<i>Tigriopus</i>","marine invertebrate","HBCD","96 hours","water","10 (1)","92978 </br> [79361 - 112386]","<a href='Tigriopus_HBCD_96h_Shi2017.pdf' target='_blank'>Link</a>","<a id='cite-Shi2017'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0045653516313728'>Shi<i> et al.</i> (2017)</a>",NA
"<a href='Danio_emodin_48h_Chen2017.txt'target='_blank'>Danio_emodin_48h_Chen2017.txt</a>","<i>Danio</i>","fish","emodin","48 hours","water","9 (2)","123 </br> [100 - 143]","<a href='Danio_emodin_48h_Chen2017.pdf' target='_blank'>Link</a>","<a id='cite-Chen2017'target='_blank'></a><a href='http://dx.doi.org/10.1007/s10646-017-1769-4'>Chen<i> et al.</i> (2017)</a>","2 tested concentrations"
"<a href='Enchytraeus_AgNP-Cit_10d_Topuz2015.txt'target='_blank'>Enchytraeus_AgNP-Cit_10d_Topuz2015.txt</a>","<i>Enchytraeus</i>","terrestrial worm","AgNP-Cit","10 days","water","5 (6)","18 </br> [0 - 250409]","<a href='Enchytraeus_AgNP-Cit_10d_Topuz2015.pdf' target='_blank'>Link</a>","<a id='cite-Topuz2015'target='_blank'></a><a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.3123'>Topuz<i> et al.</i> (2015)</a>","6 tested concentrations"
"<a href='Enchytraeus_AgNP-PVP_10d_Topuz2015.txt'target='_blank'>Enchytraeus_AgNP-PVP_10d_Topuz2015.txt</a>","<i>Enchytraeus</i>","terrestrial worm","AgNP-PVP","10 days","water","5 (4)","56 </br> [0 - 523281]","<a href='Enchytraeus_AgNP-PVP_10d_Topuz2015.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.3123'target='_blank'>Topuz<i> et al.</i> (2015)</a>","4 tested concentrations"
"<a href='Metaphire_6-2-diPAP_21d_Zhu2021.txt'target='_blank'>Metaphire_6-2-diPAP_21d_Zhu2021.txt</a>","<i>Metaphire</i>","aquatic worm","6-2-diPAP","21 days","sediment","10 (1)","323 </br> [1 - 63154241]","<a href='Metaphire_6-2-diPAP_21d_Zhu2021.pdf' target='_blank'>Link</a>","<a id='cite-Zhu2021'target='_blank'></a><a href='https://www.sciencedirect.com/science/article/pii/S0160412021000763'>Zhu<i> et al.</i> (2021)</a>","biotransformation"
"<a href='Anax_chlorpyrifos_2.313d_Rubach2010.txt'target='_blank'>Anax_chlorpyrifos_2.313d_Rubach2010.txt</a>","<i>Anax</i>","aquatic invertebrate","chlorpyrifos","2.313 days","water","49 (5)","113 </br> [82 - 181]","<a href='Anax_chlorpyrifos_2.313d_Rubach2010.pdf' target='_blank'>Link</a>","<a id='cite-Rubach2010'target='_blank'></a><a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.273'>Rubach<i> et al.</i> (2010)</a>",NA
"<a href='Assellus_chlorpyrifos_2.048d_Rubach2010.txt'target='_blank'>Assellus_chlorpyrifos_2.048d_Rubach2010.txt</a>","<i>Assellus</i>","aquatic invertebrate","chlorpyrifos","2.048 days","water","48 (5)","3273 </br> [2570 - 4558]","<a href='Assellus_chlorpyrifos_2.048d_Rubach2010.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.273'target='_blank'>Rubach<i> et al.</i> (2010)</a>",NA
"<a href='Chaoborus_chlorpyrifos_1.958d_Rubach2010.txt'target='_blank'>Chaoborus_chlorpyrifos_1.958d_Rubach2010.txt</a>","<i>Chaoborus</i>","aquatic invertebrate","chlorpyrifos","1.958 days","water","97 (5)","2859 </br> [2128 - 4508]","<a href='Chaoborus_chlorpyrifos_1.958d_Rubach2010.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.273'target='_blank'>Rubach<i> et al.</i> (2010)</a>",NA
"<a href='Cloeon_chlorpyrifos_2.031d_Rubach2010.txt'target='_blank'>Cloeon_chlorpyrifos_2.031d_Rubach2010.txt</a>","<i>Cloeon</i>","aquatic invertebrate","chlorpyrifos","2.031 days","water","98 (10)","1825 </br> [1464 - 2376]","<a href='Cloeon_chlorpyrifos_2.031d_Rubach2010.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.273'target='_blank'>Rubach<i> et al.</i> (2010)</a>",NA
"<a href='Culex_chlorpyrifos_2.396d_Rubach2010.txt'target='_blank'>Culex_chlorpyrifos_2.396d_Rubach2010.txt</a>","<i>Culex</i>","aquatic invertebrate","chlorpyrifos","2.396 days","water","49 (5)","270910 </br> [5565 - 21437990]","<a href='Culex_chlorpyrifos_2.396d_Rubach2010.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.273'target='_blank'>Rubach<i> et al.</i> (2010)</a>",NA
"<a href='Daphnia_chlorpyrifos_2.042d_Rubach2010.txt'target='_blank'>Daphnia_chlorpyrifos_2.042d_Rubach2010.txt</a>","<i>Daphnia</i>","aquatic invertebrate","chlorpyrifos","2.042 days","water","47 (5)","543 </br> [461 - 652]","<a href='Daphnia_chlorpyrifos_2.042d_Rubach2010.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.273'target='_blank'>Rubach<i> et al.</i> (2010)</a>",NA
"<a href='Gammarus_chlorpyrifos_2.041d_Rubach2010_juveniles.txt'target='_blank'>Gammarus_chlorpyrifos_2.041d_Rubach2010_juveniles.txt</a>","<i>Gammarus</i>","aquatic invertebrate","chlorpyrifos","2.041 days","water","48 (5)","3886 </br> [2159 - 1072296]","<a href='Gammarus_chlorpyrifos_2.041d_Rubach2010_juveniles.pdf' target='_blank'>Link</a>","<a href='https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.273'target='_blank'>Rubach<i> et al.</i> (2010)</a>","juveniles"
